"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-5416 Bardu";"2017";3994
"K-5417 Salangen";"2017";2220
"K-5418 Målselv";"2017";6781
"K-5419 Sørreisa";"2017";3496
"K-5420 Dyrøy";"2017";1138
"K-5421 Senja";"2017";15072
"K-5422 Balsfjord";"2017";5685
"K-5423 Karlsøy";"2017";2273
"K-5424 Lyngen";"2017";2876
"K-5425 Storfjord - Omasvuotna - Omasvuono";"2017";1890
"K-5426 Gáivuotna - Kåfjord - Kaivuono";"2017";2132
"K-5427 Skjervøy";"2017";2912
"K-5428 Nordreisa";"2017";4919
"K-5429 Kvænangen";"2017";1233
"K-5430 Guovdageaidnu - Kautokeino";"2017";2938
"K-5432 Loppa";"2017";968
"K-5433 Hasvik";"2017";1037
"K-5434 Måsøy";"2017";1204
"K-5435 Nordkapp";"2017";3291
"K-5436 Porsanger - Porsángu - Porsanki ";"2017";3971
"K-5437 Kárásjohka - Karasjok";"2017";2696
"K-5438 Lebesby";"2017";1330
"K-5439 Gamvik";"2017";1137
"K-5440 Berlevåg";"2017";991
"K-5441 Deatnu - Tana";"2017";2911
"K-5442 Unjárga - Nesseby";"2017";951
"K-5443 Båtsfjord";"2017";2267
"K-5444 Sør-Varanger";"2017";10199
"K-21-22 Svalbard og Jan Mayen";"2017";0
"K-23 Kontinentalsokkelen";"2017";0
"K-Rest Delte kommuner og uoppgitt";"2017";54141
